Job Title,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Role
 Digital Media Planner,5 - 10 yrs, Media Planning| Digital Media,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Media Planning Executive/Manager
 Online Bidding Executive,2 - 5 yrs, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
 Trainee Research/ Research Executive- Hi- Tech Operations,0 - 1 yrs, Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,R&D,"Engineering Design , R&D","Recruitment, Staffing",R&D Executive
 Technical Support,0 - 5 yrs, Technical Support,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer
 Software Test Engineer -hyderabad,2 - 5 yrs, manual testing| test engineering| test cases| web testing| web technologies,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
 Opening For Adobe Analytics Specialist,5 - 7 yrs, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
 Sales- Fresher-for Leading Property Consultant,0 - 0 yrs, channel partners| real estate| negotiation| property| Residential Sales,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer
 Opportunity For Azure Devops Architect For Hyderabad Location,9 - 14 yrs, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
 BDE- PUNE,2 - 7 yrs, Bde,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
 Technical Support/ Product Support,1 - 5 yrs, technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Executive Assistant To Chairman,5 - 10 yrs, secretary| executive assistant| ea,Corporate Planning/Consulting/Strategy,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing",Corporate Planning/Strategy Manager
